provincia,fecha,NO2,O3,PM_particle,CO,velmedia,prec,label_ica,split
Avila,2013-04-10,7.0,43.0,13.0,0.2,2.8,0.0,1,train
Avila,2013-04-11,2.0,52.0,13.0,0.2,4.4,0.0,1,train
Avila,2013-04-12,31.0,36.0,29.0,0.2,3.6,0.0,0,train
Avila,2013-04-13,7.0,75.0,16.0,0.2,3.9,0.0,0,train
Avila,2013-04-14,6.0,87.0,21.0,0.2,4.4,0.0,0,train
Avila,2013-04-15,8.0,69.0,23.0,0.2,2.8,0.0,0,train
Avila,2013-04-16,10.0,69.0,20.0,0.2,1.9,0.0,0,train
Avila,2013-04-17,10.0,73.0,24.0,0.2,3.6,0.0,1,train
Avila,2013-04-18,8.0,71.0,24.0,0.2,2.8,0.0,0,train
Avila,2013-04-19,3.0,87.0,21.0,0.2,5.8,0.0,1,train
Avila,2013-04-20,7.0,83.0,18.0,0.2,2.8,0.0,0,train
Avila,2013-04-21,5.0,84.0,18.0,0.2,3.1,0.0,0,train
Avila,2013-04-22,4.0,87.0,17.0,0.2,4.7,0.0,0,train
Avila,2013-04-23,6.0,89.0,19.0,0.2,3.1,0.0,0,train
Avila,2013-04-24,10.0,98.0,29.0,0.2,2.8,0.0,2,train
Avila,2013-04-25,6.0,96.0,31.0,0.2,3.3,0.0,0,train
Avila,2013-04-26,8.0,81.0,21.0,0.2,1.7,8.2,1,train
Avila,2013-04-27,1.0,91.0,12.0,0.2,4.2,0.0,0,train
Avila,2013-04-28,1.0,93.0,14.0,0.2,7.2,3.4,1,train
Avila,2013-04-29,5.0,84.0,15.0,0.2,3.3,9.6,1,train
Avila,2013-04-30,7.0,76.0,14.0,0.2,2.2,5.2,1,train
Avila,2013-05-01,26.0,31.0,24.0,0.2,2.2,0.0,1,train
Avila,2013-05-02,7.0,65.0,20.0,0.2,2.5,0.0,1,train
Avila,2013-05-03,10.0,78.0,15.0,0.2,2.8,0.0,1,train
Avila,2013-05-04,3.0,100.0,15.0,0.2,2.5,0.0,0,train
Avila,2013-05-05,9.0,81.0,14.0,0.2,2.5,0.0,2,train
Avila,2013-05-06,11.0,94.0,19.0,0.2,1.9,0.8,1,train
